InputID,GeneID,GO_ID,Evidence,Qualifier,GO_term,PubMed,Category
LOC5563713,5563713,GO:0003729,IEA,enables,mRNA binding,30032202,Function
LOC5563713,5563713,GO:0016607,IEA,located_in,nuclear speck,30032202,Component
LOC5563714,5563714,GO:0000151,IEA,part_of,ubiquitin ligase complex,22301074|30032202,Component
LOC5563714,5563714,GO:0000209,IEA,involved_in,protein polyubiquitination,30032202,Process
LOC5563714,5563714,GO:0005634,IEA,located_in,nucleus,30032202,Component
LOC5563714,5563714,GO:0005737,IEA,located_in,cytoplasm,30032202,Component
LOC5563714,5563714,GO:0034450,IEA,enables,ubiquitin-ubiquitin ligase activity,22301074|30032202,Function
LOC5563715,5563715,GO:0004683,IEA,enables,calcium/calmodulin-dependent protein kinase activity,30032202,Function
LOC5563715,5563715,GO:0005516,IEA,enables,calmodulin binding,30032202,Function
LOC5563715,5563715,GO:0005524,IEA,enables,ATP binding,22301074,Function
LOC5563715,5563715,GO:0005634,IEA,located_in,nucleus,30032202,Component
LOC5563715,5563715,GO:0005737,IEA,located_in,cytoplasm,30032202,Component
LOC5563715,5563715,GO:0009931,IEA,enables,calcium-dependent protein serine/threonine kinase activity,30032202,Function
LOC5563715,5563715,GO:0018105,IEA,involved_in,peptidyl-serine phosphorylation,30032202,Process
LOC5563715,5563715,GO:0035556,IEA,involved_in,intracellular signal transduction,30032202,Process
LOC5563715,5563715,GO:0046777,IEA,involved_in,protein autophosphorylation,30032202,Process
LOC5563716,5563716,GO:0016311,IEA,involved_in,dephosphorylation,30032202,Process
LOC5563716,5563716,GO:0016791,IEA,enables,phosphatase activity,30032202,Function
LOC5563717,5563717,GO:0016311,IEA,involved_in,dephosphorylation,30032202,Process
LOC5563717,5563717,GO:0016791,IEA,enables,phosphatase activity,30032202,Function
LOC5563718,5563718,GO:0004035,IEA,enables,alkaline phosphatase activity,30032202,Function
LOC5563718,5563718,GO:0016311,IEA,involved_in,dephosphorylation,30032202,Process
LOC5563719,5563719,GO:0000703,IEA,enables,oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity,30032202,Function
LOC5563719,5563719,GO:0003677,IEA,enables,DNA binding,22301074,Function
LOC5563719,5563719,GO:0003906,IEA,enables,DNA-(apurinic or apyrimidinic site) endonuclease activity,22301074|30032202,Function
LOC5563719,5563719,GO:0005634,IEA,located_in,nucleus,22301074|30032202,Component
LOC5563719,5563719,GO:0006284,IEA,involved_in,base-excision repair,22301074,Process
LOC5563719,5563719,GO:0006285,IEA,involved_in,"base-excision repair, AP site formation",22301074|30032202,Process
LOC5563719,5563719,GO:0006289,IEA,involved_in,nucleotide-excision repair,30032202,Process
LOC5563720,5563720,GO:0050780,IEA,enables,dopamine receptor binding,30032202,Function
LOC5563721,5563721,GO:0003333,IEA,involved_in,amino acid transmembrane transport,30032202,Process
LOC5563721,5563721,GO:0015179,IEA,enables,L-amino acid transmembrane transporter activity,30032202,Function
LOC5563721,5563721,GO:0016020,IEA,located_in,membrane,22301074,Component
LOC5563722,5563722,GO:0004222,IEA,enables,metalloendopeptidase activity,22301074|30032202,Function
LOC5563722,5563722,GO:0005886,IEA,located_in,plasma membrane,30032202,Component
LOC5563722,5563722,GO:0006509,IEA,involved_in,membrane protein ectodomain proteolysis,30032202,Process
LOC5563722,5563722,GO:0007219,IEA,involved_in,Notch signaling pathway,30032202,Process
LOC5563723,5563723,GO:0004825,IEA,enables,methionine-tRNA ligase activity,22301074|30032202,Function
LOC5563723,5563723,GO:0005524,IEA,enables,ATP binding,22301074,Function
LOC5563723,5563723,GO:0006431,IEA,involved_in,methionyl-tRNA aminoacylation,22301074|30032202,Process
LOC5563724,5563724,GO:0004930,IEA,enables,G protein-coupled receptor activity,22301074|30032202,Function
LOC5563724,5563724,GO:0016020,IEA,located_in,membrane,22301074,Component
LOC5563724,5563724,GO:0071880,IEA,involved_in,adenylate cyclase-activating adrenergic receptor signaling pathway,30032202,Process
LOC5563725,5563725,GO:0004867,IEA,enables,serine-type endopeptidase inhibitor activity,30032202,Function
LOC5563726,5563726,GO:0004867,IEA,enables,serine-type endopeptidase inhibitor activity,30032202,Function
LOC5563727,5563727,GO:0005549,IEA,enables,odorant binding,22301074,Function
LOC5563727,5563727,GO:0005576,IEA,located_in,extracellular region,30032202,Component
LOC5563727,5563727,GO:0007608,IEA,involved_in,sensory perception of smell,30032202,Process
LOC5563727,5563727,GO:0035275,IEA,enables,dibutyl phthalate binding,30032202,Function
LOC5563727,5563727,GO:0042048,IEA,involved_in,olfactory behavior,30032202,Process
LOC5563729,5563729,GO:0004029,IEA,enables,aldehyde dehydrogenase (NAD+) activity,30032202,Function
LOC5563731,5563731,GO:0005524,IEA,enables,ATP binding,22301074,Function
LOC5563731,5563731,GO:0005634,IEA,located_in,nucleus,30032202,Component
LOC5563731,5563731,GO:0005876,IEA,located_in,spindle microtubule,30032202,Component
LOC5563731,5563731,GO:0007018,IEA,involved_in,microtubule-based movement,22301074,Process
LOC5563731,5563731,GO:0008017,IEA,enables,microtubule binding,22301074,Function
LOC5563731,5563731,GO:0008574,IEA,enables,plus-end-directed microtubule motor activity,30032202,Function
LOC5563731,5563731,GO:0090307,IEA,involved_in,mitotic spindle assembly,30032202,Process
LOC5563733,5563733,GO:0005634,IEA,located_in,nucleus,22301074|30032202,Component
LOC5563733,5563733,GO:0008270,IEA,enables,zinc ion binding,22301074,Function
LOC5563734,5563734,GO:0004784,IEA,enables,superoxide dismutase activity,30032202,Function
LOC5563734,5563734,GO:0005507,IEA,enables,copper ion binding,30032202,Function
LOC5563734,5563734,GO:0019430,IEA,involved_in,removal of superoxide radicals,30032202,Process
LOC5563739,5563739,GO:0015276,IEA,enables,ligand-gated monoatomic ion channel activity,22301074,Function
LOC5563739,5563739,GO:0016020,IEA,located_in,membrane,22301074,Component
LOC5563740,5563740,GO:0015276,IEA,enables,ligand-gated monoatomic ion channel activity,22301074,Function
LOC5563740,5563740,GO:0016020,IEA,located_in,membrane,22301074,Component
LOC5563741,5563741,GO:0015276,IEA,enables,ligand-gated monoatomic ion channel activity,22301074,Function
LOC5563741,5563741,GO:0016020,IEA,located_in,membrane,22301074,Component
LOC5563743,5563743,GO:0005793,IEA,located_in,endoplasmic reticulum-Golgi intermediate compartment,30032202,Component
LOC5563743,5563743,GO:0005794,IEA,located_in,Golgi apparatus,30032202,Component
LOC5563743,5563743,GO:0005801,IEA,located_in,cis-Golgi network,30032202,Component
LOC5563743,5563743,GO:0015297,IEA,enables,antiporter activity,30032202,Function
LOC5563743,5563743,GO:0015786,IEA,involved_in,UDP-glucose transmembrane transport,30032202,Process
LOC5563744,5563744,GO:0002161,IEA,enables,aminoacyl-tRNA deacylase activity,22301074,Function
LOC5563744,5563744,GO:0004832,IEA,enables,valine-tRNA ligase activity,22301074|30032202,Function
LOC5563744,5563744,GO:0005524,IEA,enables,ATP binding,22301074|30032202,Function
LOC5563744,5563744,GO:0005829,IEA,located_in,cytosol,30032202,Component
LOC5563744,5563744,GO:0006438,IEA,involved_in,valyl-tRNA aminoacylation,22301074|30032202,Process
